Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (›C),Buffer/Media,Uniprot,References,Data Point,Notes
83,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),1.3,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S16,
84,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitN104S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S17,
85,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitN104S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S17,
86,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitN104S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.451,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S17,
87,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitN104S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.92,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S17,
88,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitN104S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.49,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S17,
89,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS6P,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S18,
90,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS6P,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S18,
91,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS6P,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.523,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S18,
92,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS6P,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.07,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S18,
93,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS6P,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.49,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S18,
94,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP21S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S19,
95,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP21S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S19,
96,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP21S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.408,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S19,
97,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP21S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.05,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S19,
98,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP21S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.39,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S19,
99,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT24M,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S20,
100,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT24M,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S20,
101,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT24M,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.58,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S20,
102,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT24M,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S20,
103,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT24M,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.98,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S20,
104,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S21,
105,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S21,
106,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.419,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S21,
107,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.95,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S21,
108,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.44,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S21,
109,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS33L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S22,
110,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS33L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S22,
111,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS33L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.437,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S22,
112,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS33L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.07,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S22,
113,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitS33L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.41,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S22,
114,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG44S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S23,
115,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG44S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S23,
116,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG44S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.408,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S23,
117,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG44S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.1,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S23,
118,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG44S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.37,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S23,
119,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S24,
120,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S24,
121,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.451,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S24,
122,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.07,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S24,
123,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.42,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S24,
124,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S25,
125,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S25,
126,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.422,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S25,
127,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.11,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S25,
128,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP78L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.29,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S25,
129,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP98S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S26,
130,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP98S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S26,
131,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP98S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.476,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S26,
132,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP98S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.99,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S26,
133,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP98S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.48,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S26,
134,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S27,
135,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S27,
136,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.39,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S27,
137,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.95,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S27,
138,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.41,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S27,
139,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S28,
140,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S28,
141,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.39,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S28,
142,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.91,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S28,
143,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.43,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S28,
144,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101I,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S29,
145,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101I,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S29,
146,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101I,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.31,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S29,
147,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101I,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.92,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S29,
148,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitM101I,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.33,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S29,
149,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112N,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S30,
150,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112N,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S30,
151,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112N,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.473,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S30,
152,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112N,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.07,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S30,
153,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112N,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.44,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S30,
154,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S31,
155,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S31,
156,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.458,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S31,
157,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.09,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S31,
158,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD112G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.42,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S31,
159,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF114L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S32,
160,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF114L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S32,
161,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF114L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.311,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S32,
162,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF114L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.01,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S32,
163,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF114L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.31,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S32,
164,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY115C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S33,
165,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY115C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S33,
166,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY115C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.458,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S33,
167,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY115C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.09,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S33,
